Date,views
2018-01-01,295342
2018-02-01,264070
2018-03-01,304819
2018-04-01,286565
2018-05-01,309855
2018-06-01,267032
2018-07-01,277678
2018-08-01,274811
2018-09-01,286376
2018-10-01,312838
2018-11-01,311721
2018-12-01,271790
2019-01-01,281671
2019-02-01,269847
2019-03-01,291528
2019-04-01,334138
2019-05-01,279083
2019-06-01,257127
2019-07-01,272012
2019-08-01,248309
2019-09-01,287954
2019-10-01,294123
2019-11-01,290238
2019-12-01,239396
2020-01-01,276137
2020-02-01,277123
2020-03-01,233114
2020-04-01,242444
2020-05-01,244422
2020-06-01,207483
2020-07-01,206641
2020-08-01,201959
2020-09-01,228918
2020-10-01,240979
2020-11-01,229255
2020-12-01,219651
2021-01-01,219520
2021-02-01,204483
2021-03-01,223346
2021-04-01,184313
2021-05-01,180279
2021-06-01,171709
2021-07-01,302008
2021-08-01,358259
2021-09-01,350333
2021-10-01,328145
2021-11-01,305126
2021-12-01,302930
2022-01-01,354089
2022-02-01,386514
2022-03-01,482516
2022-04-01,443032
2022-05-01,434343
2022-06-01,421482
2022-07-01,395263
2022-08-01,479483
2022-09-01,550500
2022-10-01,511869
2022-11-01,501863
2022-12-01,461950
2023-01-01,347639
2023-02-01,425620
2023-03-01,566455
2023-04-01,553829
2023-05-01,655257
2023-06-01,696242
2023-07-01,715551
2023-08-01,631020
2023-09-01,505577
2023-10-01,533675
2023-11-01,537255
2023-12-01,522816
2024-01-01,626726
2024-02-01,524445
2024-03-01,519588
2024-04-01,455129
2024-05-01,415549
2024-06-01,307168
2024-07-01,283842
2024-08-01,293080
2024-09-01,312003
2024-10-01,340363
2024-11-01,363899
2024-12-01,307977
2025-01-01,402159
2025-02-01,365248
2025-03-01,348376
2025-04-01,294960
2025-05-01,295206
2025-06-01,272443
2025-07-01,288589
2025-08-01,296561
2025-09-01,334185
2025-10-01,253189
